REFERENCIA;DESCRIPCION;INVIMA
2207125-APT;1.2-Microtornillos Cross Autoperforantes de 5mm;Invima:2025DM-0031031
2207126-APT;1.2-Microtornillos Cross Autoperforantes de 6mm;Invima:2025DM-0031031
IM-CR-PEEK-S;IMPLANTE CRANEAL EN PEEK TALLA S;Invima:2019002564
IM-CR-PEEK-M;IMPLANTE CRANEAL EN PEEK TALLA M;Invima:2019002564
IM-CR-PEEK-L;IMPLANTE CRANEAL EN PEEK TALLA L;Invima:2019002564
IM-CR-PEEK+CFR-L;IMPLANTE CRANEAL EN PEEK CON FC TALLA L;Invima:2019002564
IM-CR-PEEK-2;IMPLANTE CRANEAL DOS LATERALIDADES PEEK;Invima:2019002564
IM-01-PMMA+HA;IMPLANTE CRANEAL EN PMMA HIDROXIAPATITA S-M-L;Invima:2019002564
IM-01-PMMA.;IMPLANTE CRANEAL EN PMMA S-M-L;Invima:2019002564
IM-CR-PEEK+HA;IMPLANTE CRANEAL EN PEEK+HA S-M-L;Invima:2019002564
IM-CR-PEEK+CF;IMPLANTE CRANEAL EN PEEK+CF S-M-L;Invima:2019002564
IM-FC-PMMA-L1;IMPLANTE FACIAL UNA LATERALIDADES PMMA;Invima:2019002564
IM-FC-PMMA-L2;IMPLANTE FACIAL DOS LATERALIDADES PMMA;Invima:2019002564
IM-FC-PMMA+HA-L1;IMPLANTE FACIAL UNA LATERALIDADES PMMA+ HA;Invima:2019002564
IM-FC-PMMA+HA-L2;IMPLANTE FACIAL DOS LATERALIDADES PMMA+ HA;Invima:2019002564
IM-FC-PEEK-L1;IMPLANTE FACIAL UNA LATERALIDADE PEEK;Invima:2019002564
IM-FC-PEEK-L2;IMPLANTE FACIAL DOS LATERALIDADES PEEK;Invima:2019002564
IM-FC-PEEK+HA-L1;IMPLANTE FACIAL UNA LATERALIDADES PEEK+HA;Invima:2019002564
IM-CR-PEEK-SP;MPLANTE CRANEAL EN PEEK ESPECIAL;Invima:2019002564
IM-01-PMMA + IM-CR-PEEK-1L;IMPLANTE CRANEAL EN PMMA+ IMPLANTE FACIAL DE UNA LATERALIDAD EN PEEK;Invima:2019002564
IM-FC-PEEK+HA-L2;IMPLANTE FACIAL DOS LATERALIDADES PEEK+HA;Invima:2019002564
IM-FC-PEEK+CF-L1;IMPLANTE FACIAL UNA LATERALIDADES PEEK+CF;Invima:2019002564
IM-FC-PEEK+CF -L2;IMPLANTE FACIAL DOS LATERALIDADES PEEK+CF;Invima:2019002564
IM-FC-PEEK-L2 + 1L;IMPLANTE FACIAL DE 3 LATERALIDADES;Invima:2019002564
